date,hour,traffic_volume,temp,rain_1h,snow_1h,clouds_all,PM2.5,PM10,NO2,CO,AQI
2015-06-11,20,2886,287.586,0.0,0.0,92,115.57,259.73,32.99,1.24,270.0
2015-06-12,18,4380,297.543,0.0,0.0,0,83.29,180.06,36.36,1.19,239.0
2015-06-12,20,3095,292.061,0.0,0.0,8,83.29,180.06,36.36,1.19,239.0
2015-06-12,21,3299,292.061,0.0,0.0,8,83.29,180.06,36.36,1.19,239.0
2015-06-13,21,3040,294.84,0.0,0.0,76,73.7,158.24,52.9,1.36,214.0
2015-06-13,23,2051,293.137,0.0,0.0,56,73.7,158.24,52.9,1.36,214.0
2015-06-14,20,2909,296.064,0.0,0.0,88,74.56,121.44,68.76,1.35,166.0
2015-06-19,18,4681,299.007,0.0,0.0,0,110.65,216.46,65.21,1.38,284.0
2015-06-20,18,4045,295.369,0.0,0.0,88,80.31,160.22,52.7,1.29,239.0
2015-06-22,0,742,293.514,0.0,0.0,12,85.4,139.2,58.88,1.34,172.0
2015-06-22,18,4415,295.744,0.0,0.0,12,85.4,139.2,58.88,1.34,172.0
2015-06-24,4,923,287.741,0.0,0.0,0,126.07,214.45,60.31,1.37,261.0
2015-06-24,6,5834,290.225,0.0,0.0,0,126.07,214.45,60.31,1.37,261.0
2015-06-24,7,5401,290.225,0.0,0.0,0,126.07,214.45,60.31,1.37,261.0
2015-06-24,8,5097,290.225,0.0,0.0,0,126.07,214.45,60.31,1.37,261.0
2015-06-24,10,4723,297.003,0.0,0.0,36,126.07,214.45,60.31,1.37,261.0
2015-06-24,11,4947,299.882,0.0,0.0,24,126.07,214.45,60.31,1.37,261.0
2015-06-24,13,5000,299.882,0.0,0.0,24,126.07,214.45,60.31,1.37,261.0
2015-06-24,14,5247,301.221,0.0,0.0,12,126.07,214.45,60.31,1.37,261.0
2015-06-24,15,5830,301.221,0.0,0.0,12,126.07,214.45,60.31,1.37,261.0
2015-06-24,16,6393,301.221,0.0,0.0,12,126.07,214.45,60.31,1.37,261.0
2015-06-24,18,4658,297.91,0.0,0.0,92,126.07,214.45,60.31,1.37,261.0
2015-06-24,19,3378,297.91,0.0,0.0,92,126.07,214.45,60.31,1.37,261.0
2015-06-24,20,3028,297.91,0.0,0.0,92,126.07,214.45,60.31,1.37,261.0
2015-06-24,21,2929,291.896,0.0,0.0,92,126.07,214.45,60.31,1.37,261.0
2015-06-24,22,2119,291.896,0.0,0.0,92,126.07,214.45,60.31,1.37,261.0
2015-06-24,23,1205,291.896,0.0,0.0,92,126.07,214.45,60.31,1.37,261.0
2015-06-25,0,762,291.616,0.0,0.0,88,37.59,62.38,44.72,1.25,188.0
2015-06-25,2,334,291.616,0.0,0.0,88,37.59,62.38,44.72,1.25,188.0
2015-06-25,3,352,291.093,0.0,0.0,88,37.59,62.38,44.72,1.25,188.0
2015-06-25,13,5116,299.34,0.0,0.0,1,37.59,62.38,44.72,1.25,188.0
2015-06-25,14,5264,299.53,0.0,0.0,75,37.59,62.38,44.72,1.25,188.0
2015-06-25,15,6122,299.9,0.0,0.0,40,37.59,62.38,44.72,1.25,188.0
2015-06-25,16,6277,299.8,0.0,0.0,40,37.59,62.38,44.72,1.25,188.0
2015-06-25,17,5996,299.52,0.0,0.0,75,37.59,62.38,44.72,1.25,188.0
2015-06-25,19,3843,298.52,0.0,0.0,1,37.59,62.38,44.72,1.25,188.0
2015-06-25,20,3207,297.46,0.0,0.0,1,37.59,62.38,44.72,1.25,188.0
2015-06-25,21,3189,295.25,0.0,0.0,1,37.59,62.38,44.72,1.25,188.0
2015-06-25,22,2469,293.36,0.0,0.0,1,37.59,62.38,44.72,1.25,188.0
2015-06-25,23,1507,292.11,0.0,0.0,1,37.59,62.38,44.72,1.25,188.0
2015-06-26,0,865,291.4,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,1,495,290.54,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,2,384,290.35,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,4,866,289.83,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,5,2735,289.32,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,6,5588,289.55,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,8,5031,291.77,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,10,4428,295.3,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,11,4501,296.8,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,13,4313,299.0,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,14,5118,299.33,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,15,5833,299.5,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,16,6002,299.64,0.0,0.0,40,76.0,182.48,46.88,1.04,192.0
2015-06-26,17,5319,298.27,0.55,0.0,75,76.0,182.48,46.88,1.04,192.0
2015-06-26,17,5319,298.27,0.55,0.0,75,76.0,182.48,46.88,1.04,192.0
2015-06-26,18,4416,296.23,0.55,0.0,40,76.0,182.48,46.88,1.04,192.0
2015-06-26,18,4416,296.23,0.55,0.0,40,76.0,182.48,46.88,1.04,192.0
2015-06-26,19,3612,295.88,1.02,0.0,40,76.0,182.48,46.88,1.04,192.0
2015-06-26,19,3612,295.88,1.02,0.0,40,76.0,182.48,46.88,1.04,192.0
2015-06-26,20,3125,294.59,0.0,0.0,90,76.0,182.48,46.88,1.04,192.0
2015-06-26,21,3441,292.7,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,22,3038,291.36,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-26,23,2102,290.23,0.0,0.0,1,76.0,182.48,46.88,1.04,192.0
2015-06-27,0,1468,289.44,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,1,829,289.0,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,2,672,288.65,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,3,452,288.08,0.6,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,3,452,288.08,0.6,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,4,513,287.44,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,5,847,287.16,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,6,1371,286.92,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,7,2048,289.03,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,7,2048,289.03,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,8,2700,291.98,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,9,3481,294.11,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,10,3907,295.81,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,11,3978,297.47,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,12,4395,298.85,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,13,4147,299.45,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,14,4233,300.26,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,15,4286,300.55,0.0,0.0,40,69.46,195.2,38.55,1.01,207.0
2015-06-27,16,3975,300.76,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,17,4043,300.44,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,18,3700,299.59,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,19,3590,298.7,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,20,3421,297.43,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,22,3348,295.06,0.0,0.0,1,69.46,195.2,38.55,1.01,207.0
2015-06-27,23,2441,294.02,2.86,0.0,75,69.46,195.2,38.55,1.01,207.0
2015-06-27,23,2441,294.02,2.86,0.0,75,69.46,195.2,38.55,1.01,207.0
2015-06-28,0,1447,292.55,0.79,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,0,1447,292.55,0.79,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,1,816,291.52,1.49,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,1,816,291.52,1.49,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,2,626,291.02,8.89,0.0,40,79.84,214.78,47.19,1.13,219.0
2015-06-28,2,626,291.02,8.89,0.0,40,79.84,214.78,47.19,1.13,219.0
2015-06-28,3,345,290.94,0.0,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,3,345,290.94,0.0,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,4,330,290.71,0.3,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,4,330,290.71,0.3,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,5,489,290.36,0.88,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,5,489,290.36,0.88,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,6,843,290.38,0.73,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,7,1142,291.05,0.0,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,8,1906,291.94,0.0,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,9,3036,293.76,0.0,0.0,90,79.84,214.78,47.19,1.13,219.0
2015-06-28,10,3749,295.07,0.0,0.0,40,79.84,214.78,47.19,1.13,219.0
2015-06-28,11,3806,295.99,0.0,0.0,40,79.84,214.78,47.19,1.13,219.0
2015-06-28,12,4071,297.19,0.0,0.0,1,79.84,214.78,47.19,1.13,219.0
